date,Tooele County,Salt Lake County
1/31/2000,,179679.72956834905
2/29/2000,,179788.85616952152
3/31/2000,,179982.51333154642
4/30/2000,,180419.41413540023
5/31/2000,,182299.56670727147
6/30/2000,,184258.52045166676
7/31/2000,,186246.28952513958
8/31/2000,,186806.7626733212
9/30/2000,,187218.57884780873
10/31/2000,,187441.0545775234
11/30/2000,,187756.72402794598
12/31/2000,,188079.7019260663
1/31/2001,,188243.67142433944
2/28/2001,,188317.7156495099
3/31/2001,,188433.08910330627
4/30/2001,,188825.6196497402
5/31/2001,,189114.07519677654
6/30/2001,,189456.39437396324
7/31/2001,,189666.8256936283
8/31/2001,,190040.31846482857
9/30/2001,,190308.01134139078
10/31/2001,,190631.3859630491
11/30/2001,,190890.3808743303
12/31/2001,,191029.60603312438
1/31/2002,,191064.6612375081
2/28/2002,,190808.82392662394
3/31/2002,,190791.87725656191
4/30/2002,,190975.8265542113
5/31/2002,,191160.17062217116
6/30/2002,,191296.04209369523
7/31/2002,,191336.6089938822
8/31/2002,,191343.05507206987
9/30/2002,,191171.2525408762
10/31/2002,,190704.50351485983
11/30/2002,,190444.18157460526
12/31/2002,,190195.5094767504
1/31/2003,,189977.1222530793
2/28/2003,,190016.89078095448
3/31/2003,,190095.1730901545
4/30/2003,,190397.2567272575
5/31/2003,,190540.09614567866
6/30/2003,,190683.2868636737
7/31/2003,,190852.4485711855
8/31/2003,,191006.96432652403
9/30/2003,,191165.8121673126
10/31/2003,,191254.2246120507
11/30/2003,,191407.55030644522
12/31/2003,,191615.49702841078
1/31/2004,,191815.84698714875
2/29/2004,,192037.75306026405
3/31/2004,,192242.10295181535
4/30/2004,,192479.12707053465
5/31/2004,,192582.88109955462
6/30/2004,,192743.44633596318
7/31/2004,,192893.4004800095
8/31/2004,,193025.63576064483
9/30/2004,,193095.89429487564
10/31/2004,,193128.3765282935
11/30/2004,,193056.42458045983
12/31/2004,,192818.82348465733
1/31/2005,,192392.59411950756
2/28/2005,,192271.90201492456
3/31/2005,,192307.4969089824
4/30/2005,,192796.2030521261
5/31/2005,,193123.16488821656
6/30/2005,,193556.99002794325
7/31/2005,,193960.11431093328
8/31/2005,,194578.37688433318
9/30/2005,,195322.37185483437
10/31/2005,,196363.0970806613
11/30/2005,,197894.66599501346
12/31/2005,,199657.3974534721
1/31/2006,,201105.7443
2/28/2006,,202318.31234032867
3/31/2006,,203607.13629733445
4/30/2006,,205479.94471370746
5/31/2006,,208036.28849332695
6/30/2006,,211279.1856593848
7/31/2006,,215453.61779052796
8/31/2006,,219841.42709895095
